,song_name,tempo,total_beats,average_beats,chroma_stft_mean,chroma_stft_std,chroma_stft_var,chroma_cq_mean,chroma_cq_std,chroma_cq_var,chroma_cens_mean,chroma_cens_std,chroma_cens_var,melspectrogram_mean,melspectrogram_std,melspectrogram_var,mfcc_mean,mfcc_std,mfcc_var,mfcc_delta_mean,mfcc_delta_std,mfcc_delta_var,rms_mean,rms_std,rms_var,cent_mean,cent_std,cent_var,spec_bw_mean,spec_bw_std,spec_bw_var,contrast_mean,contrast_std,contrast_var,rolloff_mean,rolloff_std,rolloff_var,poly_mean,poly_std,poly_var,tonnetz_mean,tonnetz_std,tonnetz_var,zcr_mean,zcr_std,zcr_var,harm_mean,harm_std,harm_var,perc_mean,perc_std,perc_var,frame_mean,frame_std,frame_var
44,Nannaku Prematho Title Song - Dedicated To Sri Satyamurthy Garu - DSP And Sa.mp3,83.35433467741936,105458,1301.9506172839506,0.2410082072019577,0.29622435569763184,0.08774887025356293,0.3077842891216278,0.28934723138809204,0.083721823990345,0.2039997918464564,0.20424842290685086,0.0417174182599358,5.5541911125183105,46.535099029541016,2165.515380859375,-4.304827690124512,51.26800537109375,2628.408447265625,0.012328737415373325,2.4901514053344727,6.2008538246154785,0.13455261290073395,0.07765103876590729,0.006029684096574783,1684.2929728617696,698.959930882408,488544.9849791405,2054.1841253075067,732.337529257426,536318.2567588714,22.437719013973744,6.300097018300562,39.69122243999963,3609.549006884312,1822.5958813361153,3321855.746663371,1.4104168469299725,1.8171374050140627,3.3019883487012422,0.06339704983243517,0.19820629447870625,0.039285735170979615,0.06451756149622678,0.028992476742092217,0.0008405637076407581,-5.7263177950517274e-06,0.13575702905654907,0.018429970368742943,-1.6111371223814785e-05,0.0474005825817585,0.0022468152455985546,7.2945487528344675,2.5809193720084895,6.661144804808695
45,"Nick Jonas, Robin Schulz - Right Now.mp3",103.359375,131306,1274.8155339805826,0.43909120559692383,0.30454859137535095,0.09274984896183014,0.5592533349990845,0.2627146542072296,0.06901899725198746,0.2628552610179866,0.1193333360318878,0.01424044508849945,22.603158950805664,221.31533813476562,48980.4765625,4.983409404754639,43.45107650756836,1887.9959716796875,0.011665417812764645,3.7793447971343994,14.283447265625,0.2785227298736572,0.14085011184215546,0.019838755950331688,1909.7469529599703,1037.6783820316264,1076776.4245357742,2366.9807925198184,776.7132753244181,603283.5120651854,21.22348494889199,7.6350778235651315,58.29441337189607,4363.0236173930925,2413.7171756742227,5826030.604144747,2.638903579685985,3.337837945868238,11.141162152877897,-0.026180607504473184,0.08919983941953341,0.007956611352470546,0.05914306640625,0.06262495009534992,0.0039218843744450674,-8.218469702114817e-06,0.218955397605896,0.04794146493077278,-0.0005543318693526089,0.15077443420886993,0.0227329283952713,3.5549750566893423,1.5477262469231343,2.395456535414771
46,No Place - Backstreet Boy.mp3,92.28515625,118725,1276.6129032258063,0.31623944640159607,0.30354422330856323,0.09213908761739731,0.323228657245636,0.28718864917755127,0.08247732371091843,0.21951530723225188,0.18747363341031023,0.035146363224063386,8.65625,47.798946380615234,2284.7392578125,-2.1666688919067383,46.09217071533203,2124.488037109375,0.01119608897715807,3.736103057861328,13.958465576171875,0.1811196208000183,0.07911355048418045,0.006258954294025898,2032.252124178506,1004.3317629183349,1008682.2900066505,2287.8761808237864,785.4258269700505,616893.7296715877,22.886689654080005,6.5911024515826595,43.44263152725894,4502.397774616631,2300.9621728016805,5294426.92066423,2.0085748769294054,2.5962784679094573,6.7406618829302785,0.04190954001424377,0.19575382886314413,0.038319561514581116,0.08204334365325078,0.06190453629759261,0.0038321716142199615,2.8624540391319897e-06,0.15644989907741547,0.02447657287120819,1.1997499314020388e-05,0.08367195725440979,0.0070009962655603886,3.7360907029478456,2.1591923570827687,4.662111634884642
47,"Post Malone, Swae Lee - Sunflower (Spider-Man  Into the Spider-Verse).mp3",89.10290948275862,102753,1223.25,0.35278287529945374,0.3010026216506958,0.0906025841832161,0.4803284704685211,0.28650322556495667,0.08208409696817398,0.24771309143797005,0.1482280596364171,0.021971557663577227,14.676783561706543,132.2740936279297,17496.4375,1.0472958087921143,44.75547409057617,2003.052490234375,0.009684303775429726,4.300512790679932,18.494409561157227,0.23002225160598755,0.12610554695129395,0.015902608633041382,2012.0284565669756,956.8106338366254,915486.5890228448,2213.9198723943937,559.7724083297724,313345.1491273134,21.47388651905385,8.193840079132194,67.13901524239309,4088.091946533959,1888.7233196560003,3567275.778212382,2.6114585738782052,3.3687982931028007,11.348801939612343,0.02020156475863612,0.12990568962049914,0.01687548819577746,0.09286206130272832,0.07093631798742389,0.005031961209612919,-8.331660501426086e-05,0.15291927754878998,0.023384306579828262,-0.00013859267346560955,0.17364321649074554,0.0301519688218832,3.226412698412698,1.2832985383085393,1.6468551384248336
48,Rain Man feat. Oly - Bring Back The Summer (Not Your Dope Remix).mp3,99.38401442307692,126057,1286.295918367347,0.3280046284198761,0.294208824634552,0.08655884116888046,0.3686002790927887,0.2765387296676636,0.076473668217659,0.22949535446944228,0.1751148640472258,0.03066521561027837,11.025947570800781,77.52352905273438,6009.89697265625,0.13048449158668518,31.59101104736328,997.991943359375,0.01278148964047432,2.3680644035339355,5.607728958129883,0.2154182642698288,0.08149223029613495,0.006640983279794455,2676.0467858990337,835.0605875327919,697326.1848506117,2490.1093384613496,609.0830663604471,370982.1817270448,21.378242755737936,8.050437474965126,64.80954353832287,5520.9291156969575,1812.2499815492004,3284249.995625077,2.7851976667037905,3.281483073919837,10.768131164422382,0.010752816476293147,0.1549917094162265,0.024022429987763994,0.12570596700851394,0.052498987845958994,0.0027561437248501503,0.0001801197067834437,0.18409398198127747,0.03389059379696846,0.000540468841791153,0.09197966009378433,0.00846025813370943,2.929197278911565,1.8308058133604554,3.351849926234439
49,Rita Ora - Let You Love Me [Official Video].mp3,129.19921875,162097,1286.484126984127,0.3357197940349579,0.30374670028686523,0.09226206690073013,0.38458630442619324,0.288047730922699,0.0829714983701706,0.23701872043102618,0.1647891364701338,0.027155459498572385,10.950008392333984,89.8716812133789,8076.91943359375,0.8513079285621643,38.507171630859375,1482.8023681640625,0.011182083748281002,3.351100444793701,11.229873657226562,0.20308232307434082,0.09689481556415558,0.009388605132699013,2424.60640419589,1200.1191623580805,1440286.0038590606,2489.5634137705943,703.3546992085132,494707.83289869817,21.705541863083383,6.792395066966066,46.13663074574495,5073.423488368929,2361.282888749028,5575656.880698956,2.127516062703981,2.687408846210353,7.222166306689661,0.008463492631371113,0.16122789157773357,0.025994433022601415,0.09824600455930728,0.07756691319352761,0.006016626022372248,-9.20620823308127e-06,0.17714251577854156,0.031379468739032745,-6.509345985250548e-05,0.10152158886194229,0.010306633077561855,2.3417324263038553,1.389579459888538,1.930931075344121
50,River (feat. Ed Sheeran).mp3,123.046875,155497,1274.5655737704917,0.3951437175273895,0.30586346983909607,0.09355246275663376,0.4502718150615692,0.291159451007843,0.08477382361888885,0.2503147184977741,0.14379108121407758,0.02067587503671345,7.623205661773682,68.75946807861328,4727.86474609375,-1.3221746683120728,43.54843521118164,1896.46630859375,0.012618918903172016,3.970585346221924,15.765547752380371,0.16596531867980957,0.09438672661781311,0.00890885479748249,2540.0978268561526,1262.2087555253163,1593170.9425247677,2422.480686744596,540.8337470040908,292501.1418984849,20.949268405992417,7.491547555090516,56.1232847701827,5026.327939815935,2105.9044614669756,4434833.600826513,2.055835362578424,2.9195317134468355,8.523665425821815,-0.010775942400792026,0.14434045198792567,0.020834166080078678,0.11888287901509288,0.09889668265820713,0.009780553840798126,-1.592012631590478e-05,0.11029145866632462,0.012164205312728882,-3.5985573049401864e-05,0.11516354233026505,0.013262641616165638,2.6157278911564625,1.4965666078891953,2.239711611848972
51,Sia - Move Your Body (Alan Walker Remix) [Audio].mp3,129.19921875,162502,1354.1833333333334,0.35543176531791687,0.2942284643650055,0.08657039701938629,0.44362449645996094,0.2698361277580261,0.07281152904033661,0.24089883950169722,0.15906313985354642,0.025301082460068864,6.340232849121094,69.79212951660156,4870.94140625,0.5562692880630493,39.73320007324219,1578.727294921875,0.011252845637500286,2.180990695953369,4.756720066070557,0.1519908905029297,0.08188026398420334,0.006704377476125956,2382.06403415204,759.0366521225098,576136.639265348,2481.380318673444,517.062199136175,267353.3177755375,20.33076707137268,6.6386083251708445,44.07112049502764,4862.478930588477,1646.574703858677,2711208.2553872894,1.935536222339057,2.3079840233623066,5.326790252095661,-0.023682193554513165,0.11174334541447158,0.012486575244417906,0.11385002962945047,0.06370844160563022,0.004058765531817996,-8.541079523638473e-07,0.13743945956230164,0.01888960413634777,4.074012849741848e-06,0.0674949437379837,0.004555567167699337,7.6405260770975065,2.2662660867620863,5.135961976007939
52,Taylor Swift - Blank Space (1).mp3,95.703125,117891,1309.9,0.34911245107650757,0.3206658959388733,0.10282661765813828,0.6026678681373596,0.27747124433517456,0.07699029892683029,0.2678456981273912,0.10766622185246287,0.011592015327983752,6.902363300323486,80.71885681152344,6515.5341796875,-4.622032165527344,49.75251388549805,2475.312744140625,0.013151035644114017,4.265988826751709,18.19866180419922,0.1441979855298996,0.10441949218511581,0.010903431102633476,2729.8026814431,1121.2858247657475,1257281.9008206027,2492.6973462015426,540.1614778793912,291774.422184848,21.03331873386489,7.676627536127827,58.930610328436,5418.292236328125,1962.6669318559873,3852061.4854009943,1.4978582814049335,2.2187351533999573,4.922785680932732,0.0002880725432835868,0.08795117782199424,0.007735409680276053,0.13330097021333204,0.09323369107826204,0.008692521152076799,4.2090545321116224e-05,0.09013476967811584,0.008124276995658875,-0.0001717580744298175,0.13741202652454376,0.018882064148783684,8.638984126984129,2.70229274162619,7.30238606144559
53,Taylor Swift - Wildest Dreams (R3hab Remix).mp3,129.19921875,165072,1279.6279069767443,0.3351638913154602,0.2972836494445801,0.08837757259607315,0.3565191328525543,0.277164489030838,0.07682015001773834,0.2199374635836924,0.1869781951076256,0.0349608454457053,14.0162935256958,75.20843505859375,5656.30859375,1.0705167055130005,31.715654373168945,1005.8827514648438,0.01445658691227436,2.221388339996338,4.934566020965576,0.23496977984905243,0.09362158924341202,0.008765001781284809,2476.4035477353505,825.4206033650416,681319.1724595093,2675.8194306777964,495.0730538995104,245097.3286973875,20.37406195529732,6.340526963450995,40.2022821742491,5449.571213855093,1921.0064901932396,3690265.9353645495,2.9810064835667633,3.6520839717015128,13.337717336359097,-0.018675630711674905,0.17350161737355074,0.030102811231238008,0.10411936284587849,0.0591466888927694,0.0034983308069780512,0.00033674188307486475,0.20487694442272186,0.04197455942630768,0.002618251834064722,0.08285674452781677,0.006865240167826414,4.29685260770975,2.6459693598103238,7.001153853055054
